pleasant, 기분 좋은, plez-uhnt
pleasure, 즐거움,plezh-er
plenty ,많음, plen-tee
plot, 구성하다/ 줄거리, plot
plus, 더하기, pluhs
poem, 시, poh-em
poet ,시인, poh-it
poison,독, poi-zuhn
polar ,극지의, poh-lar
pole ,막대, pohl
policy ,정책, pol-uh-see
polite,정중한,puh-lahyt
politics,정치, pol-i-tiks
poll ,투표/여론조사, pohl
pollute ,오염시키다, puh-loot
pond ,못, pond
pool ,수영장/연못, pool
pop,팝, pop
popular,인기 있는, pop-yuh-ler
population,인구, pop-yuh-ley-shuhn
pork ,돼지고기,pawrk
port ,항구, pawrt
portrait ,초상화, pawr-trit
pose ,자세, pohz
position ,위치/입장, puh-zish-uhn
positive ,긍정적인, pah-zuh-tiv
possess ,소유하다,puh-zes
possible ,가능한,pos-uh-buhl
post ,게시하다, pohst
poster ,포스터, poh-ster
pot,냄비, pot
potential ,잠재적인, puh-ten-shuhl
pour ,붓다, pawr
powder ,가루, pou-der
practical ,실용적인, prak-ti-kuhl
practice ,연습, prak-tis
praise ,칭찬,preyz
pray,기도하다, prey
precious ,귀중한, presh-uhs
precise ,정확한, pri-sahys
predict ,예측하다, pri-dikt
prefer ,선호하다, pri-fur
pregnant ,임신한, preg-nuhnt
prepare ,준비하다, pri-pair
prescribe ,처방하다, pri-skrahyb
presence ,존재, prez-uhns
preserve ,보존하다, pri-zurv
president ,대통령,prez-i-duhnt
press ,누르다, pres
pretend ,가장하다, pri-tend
prevent,막다/예방하다, pri-vent
previous ,이전의, pree-vee-uhs
prey ,먹이, prey
price,가격, prahys
pride ,자부심, prahyd
priest,사제/목사, preest
primary ,주요한, prahy-mer-ee
prime,최고의, prahym
primitive ,원시적인, prim-i-tiv
principal ,주요한/교장, prin-suh-puhl
principle ,원칙,prin-suh-puhl
prison ,감옥, priz-uhn
privacy ,사생활, prahy-vuh-see
private ,사적인/개인적인, prahy-vit
probably ,아마도,prob-uh-blee
proceed ,나아가다, proh-seed
process ,과정, pros-es
produce ,생산하다, pruh-doos
profession ,직업, pruh-fesh-uhn
professor ,교수, pruh-fes-er
profit ,이익, prof-it
progress ,진전/진보,proh-gres
promise ,약속, prom-is
promote ,촉진하다, proh-moht
pronounce ,발음하다, pruh-nouns
proof ,증거/입증, proof
proper ,적절한, prop-er
property ,재산, prop-er-tee
propose ,제안하다, pruh-pohz
prospect ,전망, pros-pekt
protect, 보호하다, pruh-tekt
protein, 단백질, proh-teen
protest, 시위하다, proh-test
proud, 자랑스러운, proud
prove, 증명하다, proov
provide, 제공하다, pruh-vahyd
province, 지방, prov-ins
psychology, 심리학, sahy-kol-uh-jee
pub, 술집, puhb
public, 공공의, puhb-lik
publish, 출판하다, puhb-lish
pull, 끌다/당기다, pool
pump, 펌프, puhmp
punch, 펀치/주먹질, puhnch
punish, 처벌하다, puhn-ish
pupil, 학생, pyoo-puhl
purchase, 구매하다, pur-chuhs
pure, 순수한, pyoor
purple, 보라색, pur-puhl
purpose, 목적, pur-puhs
pursue, 추구하다, per-soo
qualify, 자격을 갖추다, kwol-uh-fahy
quality, 품질, kwol-i-tee
quantity, 양, kwon-ti-tee
quarter, 사분의 일, kwawr-ter
quit, 그만두다, kwit
